qa_id,route,category,attribute,intent_full,split,sentiment,question,answer,product,q_len,a_len,provenance,label_source
200163,OTHER,매장,일반,매장_위치_질문,outscope,m,오늘 매장 몇 시까지 문 여나요?,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,18,26,합성,저작 시 범위 밖으로 지정
200056,PRODUCT_INFO,제품,일반,제품_재고_질문,eval,m,세트라고 되어 있는데 정확히 무엇무엇이 들어있나요?,상품 정보를 확인해 안내드리겠습니다.,,28,20,합성,저작 시 라우트 지정
200033,ORDER_PLACE,구매,일반,구매_제품_질문,fewshot,m,남아 있는 재고를 다 보내주시면 되는 건가요?,주문 도와드리겠습니다. 잠시만 기다려 주세요.,,25,25,합성,저작 시 라우트 지정
200153,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_시간_질문,eval,n,교환 신청하고 이틀이 지났는데 진행 상황이 그대로입니다.,정책에 따라 확인 후 안내드리겠습니다.,,31,21,합성,저작 시 라우트 지정
200142,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,fewshot,m,주문 제작으로 들어간 상품인데 취소가 되는지 궁금합니다.,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,31,25,합성,저작 시 라우트 지정
200069,PRODUCT_INFO,제품,제품,제품_구성_질문,eval,m,벨트 길이를 조절할 수 있는 구조로 되어 있나요?,해당 내용은 상세페이지 기준으로 확인해 드릴게요.,벨트,27,27,합성,저작 시 라우트 지정
200048,PRODUCT_INFO,제품,일반,제품_품질_질문,eval,m,화이트 색상인데 속옷이 비치지는 않을까요?,상품별로 달라 조회 후 안내드리겠습니다.,,23,22,합성,저작 시 라우트 지정
200098,SHIPPING,배송,일반,배송_시간_질문,eval,m,금액을 조금 더 채우면 배송비가 빠지는지 알고 싶습니다.,확인하는 데 잠시만 시간을 주세요.,,31,19,합성,저작 시 라우트 지정
200171,OTHER,매장,일반,매장_위치_질문,outscope,m,매장 휴무일이 언제인지 알려주세요.,해당 문의는 저희가 도와드리기 어려운 부분입니다.,,19,26,합성,저작 시 범위 밖으로 지정
200020,ORDER_PLACE,구매,제품,구매_수량_요청,fewshot,m,이 반지는 남성용 사이즈만 구매하는 것도 되는지 확인 부탁해요.,해당 옵션으로 접수 도와드리겠습니다.,반지,35,20,합성,저작 시 라우트 지정
200025,ORDER_PLACE,구매,일반,구매_제품_요청,eval,m,그럼 라지로 해주세요.,해당 옵션으로 접수 도와드리겠습니다.,,12,20,합성,저작 시 라우트 지정
200124,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,사이즈가 맞지 않아서 교환하고 싶은데 절차가 어떻게 되나요?,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,33,25,합성,저작 시 라우트 지정
200014,ORDER_PLACE,구매,제품,구매_제품_요청,eval,m,기본 티셔츠는 화이트로 한 장만 구매할게요.,"네, 확인 후 도와드리겠습니다.",기본 티셔츠,24,17,합성,저작 시 라우트 지정
200106,SHIPPING,배송,일반,배송_일반_질문,fewshot,m,"기본 배송비가 2,500원으로 안내되어 있는데 맞는 금액인가요?",배송 관련 내용 확인해 안내드리겠습니다.,,35,22,합성,저작 시 라우트 지정
200154,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,하자로 확인되면 배송비를 부담하지 않아도 되는 것이 맞죠?,접수 건을 확인해 진행 상황을 알려드릴게요.,,32,24,합성,저작 시 라우트 지정
200096,SHIPPING,배송,일반,배송_시간_질문,eval,m,당일배송이 가능한 지역인지 배송지 기준으로 확인해 주세요.,배송 관련 내용 확인해 안내드리겠습니다.,,32,22,합성,저작 시 라우트 지정
200113,SHIPPING,배송,일반,배송_일반_질문,eval,m,묶음배송 신청을 놓쳤는데 지금이라도 요청할 수 있을까요?,배송 관련 내용 확인해 안내드리겠습니다.,,31,22,합성,저작 시 라우트 지정
200085,SHIPPING,배송,일반,배송_비용_질문,fewshot,m,퀵서비스로 받아보고 싶은데 비용이 얼마나 드는지 알려주시겠어요?,주문 건을 조회한 뒤 알려드리겠습니다.,,35,21,합성,저작 시 라우트 지정
200004,ORDER_PLACE,구매,제품,구매_제품_질문,eval,m,세트로만 파는 건가요 아니면 팬티만 낱개로도 구매되나요?,주문 도와드리겠습니다. 잠시만 기다려 주세요.,팬티|세트,31,25,합성,저작 시 라우트 지정
200064,PRODUCT_INFO,제품,일반,제품_사이즈_질문,eval,m,혼용률 표기가 어디에도 없는데 알려주실 수 있나요?,상품 정보를 확인해 안내드리겠습니다.,,28,20,합성,저작 시 라우트 지정
200019,ORDER_PLACE,구매,일반,구매_수량_요청,eval,m,선물할 거라 같은 구성으로 두 세트 구매하려고 합니다.,주문 도와드리겠습니다. 잠시만 기다려 주세요.,,30,25,합성,저작 시 라우트 지정
200082,SHIPPING,배송,일반,배송_일반_질문,eval,m,얼마 이상 구매해야 무료로 보내주시는 건지 알려주세요.,배송 정책에 따라 안내드리겠습니다.,,30,19,합성,저작 시 라우트 지정
200121,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_비용_질문,eval,m,반품하려고 하는데 배송비는 누가 부담하게 되나요?,불편을 드려 죄송합니다. 확인해 드리겠습니다.,,27,25,합성,저작 시 라우트 지정
200028,ORDER_PLACE,구매,제품,구매_제품_요청,eval,m,커플잠옷에서 여자 것만 두 벌 부탁드립니다.,주문 도와드리겠습니다. 잠시만 기다려 주세요.,잠옷,24,25,합성,저작 시 라우트 지정
200103,SHIPPING,배송,일반,배송_비용_질문,eval,m,오늘 안에 받아볼 수 있는 방법이 혹시 있을까요?,주문 건을 조회한 뒤 알려드리겠습니다.,,27,21,합성,저작 시 라우트 지정
200089,SHIPPING,배송,일반,배송_시간_질문,eval,n,배송 준비중 상태로 며칠째 멈춰 있는데 어떻게 된 일인가요?,배송 관련 내용 확인해 안내드리겠습니다.,,33,22,합성,저작 시 라우트 지정
200123,RETURN_REFUND,교환|반품|환불,일반,교환|반품|환불_일반_질문,eval,m,환불 신청을 넣었는데 실제 입금까지 며칠이나 걸리나요?,접수 건을 확인해 진행 상황을 알려드릴게요.,,30,24,합성,저작 시 라우트 지정
